plans/adopt-route-auto-derive-plan-2026-06-01.md | archive | DONE-CLAIMED
plans/schema-validation-final-2026-06-01.md | archive | DONE-VERIFIED
plans/schema-verbose-default-audit-20260517.md | archive | SUPERSEDED-BY:plans/schema-single-source-of-truth-2026-06-02.md
plans/session-lifecycle-rebuild-2026-05-29.md | archive | DONE-CLAIMED
plans/session-lifecycle-rebuild-WORKLIST-2026-05-29.md | archive | SUPERSEDED-BY:plans/session-lifecycle-rebuild-2026-05-29.md
plans/setup-name-local-canonical-2026-05-27.md | archive | DONE-VERIFIED
plans/spec-git-delivery-target-2026-06-10.md | promote | PROMOTE:docs/spec-workflows.md
plans/spec-reality-audit-2026-06-16.md | archive | DONE-CLAIMED
plans/telemetry-launch-2026-07-17.md | keep-active | ACTIVE
plans/test-eval-consolidation-impl-2026-06-16.md | archive | DONE-CLAIMED
plans/test-suite-fixes-2026-04-25.md | archive | DONE-CLAIMED
plans/v9.79.0-placement-engine-fixpack-spec.md | archive | DONE-VERIFIED
plans/v9.80.0-residual-fixpack-spec.md | archive | DONE-VERIFIED
plans/workflow-family-architecture-2026-05-14.md | archive | DONE-VERIFIED
plans/workflow-family-audit-2026-05-28.md | archive | SUPERSEDED-BY:plans/workflow-family-remediation-verified-2026-05-28.md
plans/workflow-family-remediation-verified-2026-05-28.md | archive | DONE-CLAIMED
plans/workflow-response-delivery-audit-2026-06-05.md | archive | SUPERSEDED-BY:plans/workflow-response-delivery-eval-2026-06-05.md
plans/workflow-response-delivery-eval-2026-06-05.md | archive | SUPERSEDED-BY:plans/workflow-response-delivery-model-2026-06-05.md
plans/workflow-response-delivery-model-2026-06-05.md | archive | SUPERSEDED-BY:plans/expected-state-contract-decision-2026-06-17.md
plans/zcp-analysis-2026-07-17.md | keep-active | ACTIVE
plans/zcp-architecture-rootcause-audit-2026-05-29.md | archive | SUPERSEDED-BY:plans/zcp-session-lifecycle-REVIEW-VERDICT-2026-05-29.md
plans/zcp-consolidation-2026-06-04.md | archive | SUPERSEDED-BY:plans/r2-single-owner-verification-2026-06-04.md
plans/zcp-env-appversion-2026-05-28.md | archive | DONE-CLAIMED
plans/zcp-env-correctness-audit-PROMPT-2026-05-27.md | archive | SUPERSEDED-BY:plans/zcp-env-correctness-fixes-2026-05-27.md
plans/zcp-env-correctness-fixes-2026-05-27.md | archive | SUPERSEDED-BY:plans/zcp-env-appversion-2026-05-28.md
plans/zcp-env-lifecycle-fixes-2026-05-28.md | archive | DONE-CLAIMED
plans/zcp-env-lifecycle-review-findings-2026-05-28.md | archive | SUPERSEDED-BY:plans/zcp-env-lifecycle-fixes-2026-05-28.md
plans/zcp-goal-contracts-concept-2026-06-09.md | archive | SUPERSEDED-BY:plans/expected-state-contract-decision-2026-06-17.md
plans/zcp-lifecycle-durability-sourceoftruth-rootcause-2026-05-29.md | archive | SUPERSEDED-BY:plans/session-lifecycle-rebuild-2026-05-29.md
plans/zcp-session-lifecycle-REVIEW-PACKET-2026-05-29.md | archive | SUPERSEDED-BY:plans/session-lifecycle-rebuild-2026-05-29.md
plans/zcp-session-lifecycle-REVIEW-VERDICT-2026-05-29.md | archive | SUPERSEDED-BY:plans/session-lifecycle-rebuild-2026-05-29.md
plans/zcp-session-lifecycle-architecture-2026-05-29.md | archive | SUPERSEDED-BY:plans/session-lifecycle-rebuild-2026-05-29.md
plans/zcp-wholecodebase-audit-2026-05-29.md | archive | SUPERSEDED-BY:plans/zcp-architecture-rootcause-audit-2026-05-29.md
plans/zcp-workflow-deep-audit-2026-05-29.md | archive | SUPERSEDED-BY:plans/zcp-architecture-rootcause-audit-2026-05-29.md

# Subdirectories:
plans/backlog/ (80 files, last touch 2026-07-12) | keep-active | ACTIVE — live holding pen per repo convention (README.md present), touched 5 days ago; not enumerated per-file
plans/research/ (1 file, last touch 2026-07-16) | keep-active | ACTIVE — touched yesterday
plans/audit-composition/ (82 files, last touch 2026-04-27) | archive | SUPERSEDED-BY:plans/atom-corpus-hygiene-2026-04-26.md — axis-candidate worksheets for the (now-archived) atom-hygiene sprint
plans/audit-composition-v3/ (22 files, last touch 2026-04-27) | archive | SUPERSEDED-BY:plans/atom-corpus-hygiene-2026-04-26.md — v3 iteration of the same worksheets
plans/response-audit-corpus/ (103 files, last touch 2026-06-08) | archive | SUPERSEDED-BY:plans/workflow-response-delivery-model-2026-06-05.md — raw transcript corpus for the response-delivery audit, itself superseded
plans/audit-env-vars-20260515/ (4 files, last touch 2026-05-17) | archive | SUPERSEDED-BY:plans/zcp-env-appversion-2026-05-28.md — predates the authoritative env-lifecycle remediation wave
plans/eval-review-20260515-154213/ (6 files, last touch 2026-05-18) | archive | DONE-VERIFIED — eval-triage worksheet, era closed
plans/eval-review-20260517-083949/ (4 files, last touch 2026-05-18) | archive | DONE-VERIFIED — same
plans/eval-review-20260518-subset/ (10 files, last touch 2026-06-17) | archive | DONE-VERIFIED — same, most recent of the three eval-review batches
plans/guide-audit-2026-06-02/ (6 files, last touch 2026-06-04) | archive | SUPERSEDED-BY:plans/guide-llm-optimality-2026-06-02.md — evidence dir for the guide-optimality pass
plans/dataconsole-audit/ (6 files, last touch 2026-07-16) | keep-active | ACTIVE — directly feeds plans/dataconsole-ui-validation-program-2026-07-17.md (DEDUP-listed active plan)
